image,gt_index,gt_cls,best_iou,best_iou_score,best_score,best_score_iou
0944f60d-0s1b_0072.jpg,0,silver,0.7135448839521172,0.75390625,0.75390625,0.7135448839521172
0a5494ee-1s0b_0140.jpg,0,black,0.8766914991836166,0.78125,0.78125,0.8766914991836166
0a8ac0b8-0s1b_0244.jpg,0,silver,0.7852218643578945,0.7470703125,0.7470703125,0.7852218643578945
1aea1225-0s1b_0093.jpg,0,silver,0.7765517613765724,0.66796875,0.66796875,0.7765517613765724
1d148d11-2s1b_0010.jpg,0,silver,0.8407382478932476,0.6650390625,0.6650390625,0.8407382478932476
1d148d11-2s1b_0010.jpg,1,black,0.8766124470440513,0.77587890625,0.77587890625,0.8766124470440513
1d148d11-2s1b_0010.jpg,2,black,0.818418536623746,0.75244140625,0.77587890625,0.0
1fdd2017-1s1b_0213.jpg,0,silver,0.7932540345121242,0.64599609375,0.64599609375,0.7932540345121242
1fdd2017-1s1b_0213.jpg,1,black,0.8394642363847155,0.7431640625,0.7431640625,0.8394642363847155
22c843f0-2s1b_0075.jpg,0,silver,0.8358752535747254,0.71826171875,0.71826171875,0.8358752535747254
22c843f0-2s1b_0075.jpg,1,black,0.7611888904363199,0.7099609375,0.8271484375,0.0
22c843f0-2s1b_0075.jpg,2,black,0.8214118981981363,0.8271484375,0.8271484375,0.8214118981981363
296fcbf7-0s1b_0179.jpg,0,silver,0.6212141055579572,0.57568359375,0.57568359375,0.6212141055579572
4638f2e6-1s1b_0141.jpg,0,silver,0.9291788671619741,0.7265625,0.7265625,0.9291788671619741
4638f2e6-1s1b_0141.jpg,1,black,0.6720991394296879,0.6572265625,0.6572265625,0.6720991394296879
4c96b514-0s1b_0166.jpg,0,silver,0.691801246454734,0.74169921875,0.74169921875,0.691801246454734
53057841-1s1b_0078.jpg,0,black,0.7905851115903086,0.76123046875,0.76123046875,0.7905851115903086
53057841-1s1b_0078.jpg,1,silver,0.7155929393852004,0.158203125,0.158203125,0.7155929393852004
7a519590-1s1b_0001.jpg,0,black,0.8897639352298875,0.73193359375,0.73193359375,0.8897639352298875
7a519590-1s1b_0001.jpg,1,silver,0.893580314824436,0.767578125,0.767578125,0.893580314824436
9d35812d-1s1b_0053.jpg,0,black,0.8962862406553996,0.7353515625,0.7353515625,0.8962862406553996
9d35812d-1s1b_0053.jpg,1,silver,0.9426730562107848,0.75390625,0.75390625,0.9426730562107848
abbfb823-1s1b_0207.jpg,0,black,0.7608211029976114,0.57373046875,0.57373046875,0.7608211029976114
abbfb823-1s1b_0207.jpg,1,silver,0.8230357755153461,0.73974609375,0.73974609375,0.8230357755153461
bb1464e7-1s0b_0083.jpg,0,black,0.7891410291999092,0.75,0.75,0.7891410291999092
c3e01e50-0s1b_0118.jpg,0,silver,0.6776409519706463,0.6953125,0.6953125,0.6776409519706463
d2a052b8-0s1b_0029.jpg,0,silver,0.7213654132720407,0.7216796875,0.7216796875,0.7213654132720407
d37e102a-0s1b_0245.jpg,0,silver,0.8721901629531736,0.6806640625,0.6806640625,0.8721901629531736
d3ddadbc-2s1b_0142.jpg,0,black,0.9065377849468018,0.8046875,0.8046875,0.9065377849468018
d3ddadbc-2s1b_0142.jpg,1,black,0.7701244697439515,0.7490234375,0.8046875,0.0
d3ddadbc-2s1b_0142.jpg,2,silver,0.8174348366678783,0.74658203125,0.74658203125,0.8174348366678783
fa76e0b5-1s1b_0247.jpg,0,black,0.861173406439496,0.76123046875,0.76123046875,0.861173406439496
fa76e0b5-1s1b_0247.jpg,1,silver,0.7181763881390134,0.634765625,0.634765625,0.7181763881390134
